00001   注意：该软件只读取前6个数字作为列表输入,多余的字符不影响程序执行。
00002	中電控股	87.800	100,631	 	0.000%
00003	香港中華煤氣	17.780	202,715	 	0.113%
00005	匯豐控股	65.200	380,583	 	0.000%
00006	電能實業	57.700	99,635	-0.517% 	 
00011	恒生銀行	195.100	147,350	 	0.205%
00012	恒基地產	43.500	114,773	 	0.694%
00016	新鴻基地產	134.800	335,890	 	0.149%
00017	新世界發展	12.420	98,396	 	0.161%
00019	太古股份公司Ａ	95.650	44,672	-0.104% 	 
00027	銀河娛樂	55.900	241,251	 	0.359%
00066	港鐵公司	54.400	79,965	 	0.369%
00083	信和置業	13.380	57,352	 	1.364%
00101	恒隆地產	19.200	64,063	 	0.629%
00151	中國旺旺	6.150	59,521	-2.381% 	 
00175	吉利汽車	11.600	608,266	-1.861% 	 
00267	中信股份	10.800	161,903	-1.818% 	 
00288	萬洲國際	7.750	167,577	-0.768% 	 
00386	中國石油化工股份	5.200	324,984	 	0.193%
00388	香港交易所	275.400	747,408	 	0.732%
00669	創科實業	58.450	170,179	-1.100% 	 
00688	中國海外發展	28.700	191,577	 	0.000%
00700	騰訊控股	355.000	2,953,630	-0.616% 	 
00762	中國聯通	8.230	274,181	-1.082% 	 
00823	領展房產基金	98.050	244,016	 	0.461%
00857	中國石油股份	4.280	211,319	-0.233% 	 
00883	中國海洋石油	13.460	325,238	 	0.000%
00939	建設銀行	6.250	1,958,570	 	0.644%
00941	中國移動	69.900	541,713	-0.427% 	 
01038	長江基建集團	62.900	119,735	-1.411% 	 
01044	恒安國際	56.450	130,001	-0.704% 	 
01088	中國神華	16.220	185,433	-0.491% 	 
01093	石藥集團	12.580	456,734	-2.481% 	 
01109	華潤置地	34.700	183,214	 	0.434%
01113	長實集團	60.950	222,183	 	0.827%
01177	中國生物製藥	8.520	300,769	-1.617% 	 
01299	友邦保險	85.450	1,077,230	 	1.304%
01398	工商銀行	5.520	616,320	 	0.181%
01928	金沙中國有限公司	40.400	438,523	 	1.380%
01997	九龍倉置業	53.000	95,587	 	0.189%
02007	碧桂園	11.420	289,873	-0.349% 	 
02018	瑞聲科技	42.600	140,629	-0.467% 	 
02313	申洲國際	106.800	153,860	-0.559% 	 
02318	中國平安	94.250	1,777,480	 	0.159%
02319	蒙牛乳業	31.350	195,364	-1.415% 	 
02382	舜宇光學科技	86.000	522,725	 	0.998%
02388	中銀香港	30.950	131,472	 	0.324%
02628	中國人壽	20.200	926,503	 	1.815%
03328	交通銀行	5.940	79,724	-0.503%
03988	中國銀行	3.260	729,215	 	0.308%
